id,created_at,question_type,module,section,question,options,correct_answer,explanation
Q097,2025-08-19T13:01:30.166069Z,multiple_choice,Module 2: Phishing Red Flags,Section 5: Recognising URL Manipulation,UTM parameters in URLs typically:,"[""Indicate malware"", ""Track marketing campaigns"", ""Break HTTPS""]",Track marketing campaigns,They are not inherently malicious.
Q098,2025-08-19T13:01:30.166069Z,multiple_choice,Module 2: Phishing Red Flags,Section 5: Recognising URL Manipulation,Safest way to visit your bank:,"[""Click links in emails"", ""Use bookmarks or type the URL"", ""Use URL shorteners""]",Use bookmarks or type the URL,Avoid email links for sensitive sites.
Q099,2025-08-19T13:01:30.166069Z,multiple_choice,Module 2: Phishing Red Flags,Section 5: Recognising URL Manipulation,Punycode ‘xn--’ in a URL may indicate:,"[""Internationalized domain"", ""Always safe site"", ""Browser extension""]",Internationalized domain,Could be benign or malicious—be cautious.
Q100,2025-08-19T13:01:30.166069Z,multiple_choice,Module 2: Phishing Red Flags,Section 5: Recognising URL Manipulation,Query strings that ask for passwords in the URL:,"[""Are normal"", ""Are insecure and suspicious"", ""Improve caching""]",Are insecure and suspicious,Credentials should never be in a URL.
Q101,2025-08-19T13:01:30.166069Z,multiple_choice,Module 2: Phishing Red Flags,Section 6: Requests from High-Level Executives (Whaling),A CEO emails you to buy gift cards urgently. You should:,"[""Comply immediately"", ""Ask colleagues"", ""Verify via phone using a known number""]",Verify via phone using a known number,Out‑of‑band verification is essential for unusual requests.
Q102,2025-08-19T13:01:30.166069Z,multiple_choice,Module 2: Phishing Red Flags,Section 6: Requests from High-Level Executives (Whaling),Whaling attacks typically target:,"[""High‑value staff like finance/assistants"", ""Only interns"", ""IT admins exclusively""]",High‑value staff like finance/assistants,Attackers pick roles with payment authority or access.
Q103,2025-08-19T13:01:30.166069Z,multiple_choice,Module 2: Phishing Red Flags,Section 6: Requests from High-Level Executives (Whaling),A subtle sign of whaling:,"[""Flawless grammar"", ""Requests to bypass normal approvals"", ""Multiple approvers listed""]",Requests to bypass normal approvals,Attackers try to skip controls using authority pressure.
Q104,2025-08-19T13:01:30.166069Z,multiple_choice,Module 2: Phishing Red Flags,Section 6: Requests from High-Level Executives (Whaling),Legitimate urgent executive requests will usually:,"[""Still follow policy and approvals"", ""Demand secrecy and speed only"", ""Use personal email accounts""]",Still follow policy and approvals,Policy adherence is expected even when urgent.
Q105,2025-08-19T13:01:30.166069Z,multiple_choice,Module 2: Phishing Red Flags,Section 6: Requests from High-Level Executives (Whaling),Best control to reduce whaling risk:,"[""No vacations"", ""Dual control for payments"", ""Disable email signatures""]",Dual control for payments,Two-person verification reduces fraud.
Q106,2025-08-19T13:01:30.166069Z,multiple_choice,Module 2: Phishing Red Flags,Section 6: Requests from High-Level Executives (Whaling),An executive writes from 'ceo.company@gmail.com' for a wire transfer:,"[""Likely legitimate"", ""Suspicious—personal email and unusual request"", ""Always safe if signed 'Regards'""]",Suspicious—personal email and unusual request,Personal accounts for payments are a red flag.
Q107,2025-08-19T13:01:30.166069Z,multiple_choice,Module 2: Phishing Red Flags,Section 6: Requests from High-Level Executives (Whaling),Calendar invites for surprise 'payment reviews' today can be a tactic to:,"[""Lock your calendar only"", ""Rush staff into action"", ""Improve project planning""]",Rush staff into action,Pressure and surprise are manipulation tools.
Q108,2025-08-19T13:01:30.166069Z,multiple_choice,Module 2: Phishing Red Flags,Section 6: Requests from High-Level Executives (Whaling),Email footers with external warning banners:,"[""Should be ignored"", ""Help flag outside senders"", ""Mark mail as spam automatically""]",Help flag outside senders,They remind users to scrutinize external emails.
Q109,2025-08-19T13:01:30.166069Z,multiple_choice,Module 2: Phishing Red Flags,Section 6: Requests from High-Level Executives (Whaling),Which channel is BEST to verify executive payment requests?,"[""Reply to the same email"", ""Call a known number from the directory"", ""DM via unknown social account""]",Call a known number from the directory,Do not use contact info from the suspicious email.
Q110,2025-08-19T13:01:30.166069Z,multiple_choice,Module 2: Phishing Red Flags,Section 6: Requests from High-Level Executives (Whaling),Gift cards are commonly requested by scammers because:,"[""They are refundable"", ""They are hard to trace and easy to resell"", ""They require ID to buy""]",They are hard to trace and easy to resell,Gift cards are difficult to recover once used.
Q111,2025-08-19T13:01:30.166069Z,multiple_choice,Module 3: Business Email Compromise (BEC),Section 1: Business Email Compromise: An Overview,BEC primarily involves:,"[""Compromised business email used for fraud"", ""DDoS attacks on websites"", ""Physical break‑ins""]",Compromised business email used for fraud,Attackers hijack conversations to redirect money or data.
Q112,2025-08-19T13:01:30.166069Z,multiple_choice,Module 3: Business Email Compromise (BEC),Section 1: Business Email Compromise: An Overview,Common impact of BEC:,"[""Brand awareness"", ""Financial loss and data exposure"", ""Improved inbox filtering""]",Financial loss and data exposure,Fraudulent payments and sensitive data theft are typical.
Q113,2025-08-19T13:01:30.166069Z,multiple_choice,Module 3: Business Email Compromise (BEC),Section 1: Business Email Compromise: An Overview,A key enabler of BEC:,"[""Strong MFA"", ""Password reuse and weak verification"", ""Short email signatures""]",Password reuse and weak verification,Poor controls make takeover easier.
Q114,2025-08-19T13:01:30.166069Z,multiple_choice,Module 3: Business Email Compromise (BEC),Section 1: Business Email Compromise: An Overview,Vendor email compromise means:,"[""Your vendor’s mailbox is hijacked"", ""Your server is down"", ""Invoices are blocked by spam""]",Your vendor’s mailbox is hijacked,Attackers then send realistic requests from real domains.
Q115,2025-08-19T13:01:30.166069Z,multiple_choice,Module 3: Business Email Compromise (BEC),Section 1: Business Email Compromise: An Overview,BEC differs from classic phishing because:,"[""It is always bulk spam"", ""It often uses real ongoing threads and subtle changes"", ""It never uses attachments""]",It often uses real ongoing threads and subtle changes,Attackers insert themselves into real conversations.
Q116,2025-08-19T13:01:30.166069Z,multiple_choice,Module 3: Business Email Compromise (BEC),Section 1: Business Email Compromise: An Overview,A typical BEC objective:,"[""Change banking details for payments"", ""Promote newsletters"", ""Recruit for surveys""]",Change banking details for payments,Fraudsters redirect funds to their accounts.
Q117,2025-08-19T13:01:30.166069Z,multiple_choice,Module 3: Business Email Compromise (BEC),Section 1: Business Email Compromise: An Overview,Mailbox rules used by attackers can:,"[""Auto‑delete security alerts to hide activity"", ""Improve productivity"", ""Force MFA""]",Auto‑delete security alerts to hide activity,Rules help conceal compromise.
Q118,2025-08-19T13:01:30.166069Z,multiple_choice,Module 3: Business Email Compromise (BEC),Section 1: Business Email Compromise: An Overview,Which user group is MOST targeted in BEC?,"[""Payroll and AP staff"", ""Graphic designers"", ""Warehouse staff only""]",Payroll and AP staff,They control payments and salary changes.
Q119,2025-08-19T13:01:30.166069Z,multiple_choice,Module 3: Business Email Compromise (BEC),Section 1: Business Email Compromise: An Overview,Attackers often register look‑alike domains to:,"[""Improve SEO"", ""Impersonate vendors/clients"", ""Fix SPF records""]",Impersonate vendors/clients,Look‑alikes deceive recipients in payment threads.
Q120,2025-08-19T13:01:30.166069Z,multiple_choice,Module 3: Business Email Compromise (BEC),Section 1: Business Email Compromise: An Overview,Effective training for BEC should emphasize:,"[""Speed over accuracy"", ""Verification and approval workflows"", ""Ignoring vendor emails""]",Verification and approval workflows,Process discipline reduces risk.
Q121,2025-08-19T13:01:30.166069Z,multiple_choice,Module 3: Business Email Compromise (BEC),Section 2: Common Types of Business Email Compromise Attacks,Invoice fraud usually involves:,"[""Sending free products"", ""Altered invoices with new bank details"", ""Hiring requests""]",Altered invoices with new bank details,Attackers change payment instructions.
Q122,2025-08-19T13:01:30.166069Z,multiple_choice,Module 3: Business Email Compromise (BEC),Section 2: Common Types of Business Email Compromise Attacks,Payroll diversion targets:,"[""Customer refunds"", ""Employee salary deposits"", ""Travel expense reports""]",Employee salary deposits,Attackers request changes to direct deposit details.
Q123,2025-08-19T13:01:30.166069Z,multiple_choice,Module 3: Business Email Compromise (BEC),Section 2: Common Types of Business Email Compromise Attacks,Attorney/authority impersonation aims to:,"[""Provide legal advice"", ""Pressure urgent confidential payments"", ""Recruit interns""]",Pressure urgent confidential payments,Authority adds pressure to comply quickly.
Q124,2025-08-19T13:01:30.166069Z,multiple_choice,Module 3: Business Email Compromise (BEC),Section 2: Common Types of Business Email Compromise Attacks,Vendor email compromise can lead to:,"[""Fake purchase orders"", ""Free upgrades"", ""Server patches""]",Fake purchase orders,Compromised vendor accounts are leveraged for fraud.
Q125,2025-08-19T13:01:30.166069Z,multiple_choice,Module 3: Business Email Compromise (BEC),Section 2: Common Types of Business Email Compromise Attacks,Gift card scams are a subtype of:,"[""BEC/whaling"", ""Pen‑testing"", ""Logistics""]",BEC/whaling,Executives or managers are impersonated to buy cards.
Q126,2025-08-19T13:01:30.166069Z,multiple_choice,Module 3: Business Email Compromise (BEC),Section 2: Common Types of Business Email Compromise Attacks,Thread hijacking means attackers:,"[""Start a new email thread"", ""Reply inside existing conversations"", ""Send SMS only""]",Reply inside existing conversations,It increases trust and reduces suspicion.
Q127,2025-08-19T13:01:30.166069Z,multiple_choice,Module 3: Business Email Compromise (BEC),Section 2: Common Types of Business Email Compromise Attacks,Supplier bank account change requests should be:,"[""Processed quickly"", ""Verified with an independent callback"", ""Ignored forever""]",Verified with an independent callback,Always verify via a known number/contact.
Q128,2025-08-19T13:01:30.166069Z,multiple_choice,Module 3: Business Email Compromise (BEC),Section 2: Common Types of Business Email Compromise Attacks,A request to split payments across multiple new accounts is:,"[""Normal optimization"", ""Potential fraud signal"", ""Required by all banks""]",Potential fraud signal,Fragmentation can evade single‑transaction checks.
Q129,2025-08-19T13:01:30.166069Z,multiple_choice,Module 3: Business Email Compromise (BEC),Section 2: Common Types of Business Email Compromise Attacks,"BEC via collaboration tools (e.g., Teams/Slack) can:","[""Never happen"", ""Happen if accounts are compromised"", ""Only affect IT""]",Happen if accounts are compromised,Fraud can be pushed through any comms channel.
Q130,2025-08-19T13:01:30.166069Z,multiple_choice,Module 3: Business Email Compromise (BEC),Section 2: Common Types of Business Email Compromise Attacks,Phishing kits help attackers by:,"[""Automating MFA"", ""Providing ready‑made fake pages"", ""Installing printers""]",Providing ready‑made fake pages,Kits streamline credential theft.
Q131,2025-08-19T13:01:30.166069Z,multiple_choice,Module 3: Business Email Compromise (BEC),Section 3: Recognising Red Flags in Business Email Compromise,A vendor requests urgent payment to a new bank in another country. You should:,"[""Proceed if invoice looks fine"", ""Verify via known phone number before changes"", ""Ignore future invoices""]",Verify via known phone number before changes,Out‑of‑band verification is essential.
Q132,2025-08-19T13:01:30.166069Z,multiple_choice,Module 3: Business Email Compromise (BEC),Section 3: Recognising Red Flags in Business Email Compromise,Misspelled domains and slight logo changes indicate:,"[""Brand refresh"", ""Potential impersonation"", ""Localization""]",Potential impersonation,Subtle visual anomalies are red flags.
Q133,2025-08-19T13:01:30.166069Z,multiple_choice,Module 3: Business Email Compromise (BEC),Section 3: Recognising Red Flags in Business Email Compromise,Bank account details sent in an editable Word file:,"[""Are normal"", ""Are risky; prefer signed PDF/official portal"", ""Guarantee authenticity""]",Are risky; prefer signed PDF/official portal,Editable docs are easily manipulated.
Q134,2025-08-19T13:01:30.166069Z,multiple_choice,Module 3: Business Email Compromise (BEC),Section 3: Recognising Red Flags in Business Email Compromise,A new contact insists on email‑only communication:,"[""Increases security"", ""May indicate avoidance of verification"", ""Is required by privacy law""]",May indicate avoidance of verification,Fraudsters avoid phone verification.
Q135,2025-08-19T13:01:30.166069Z,multiple_choice,Module 3: Business Email Compromise (BEC),Section 3: Recognising Red Flags in Business Email Compromise,Changes to payment terms at month‑end:,"[""Common BEC timing tactic"", ""Always legitimate"", ""Unrelated to risk""]",Common BEC timing tactic,Attackers hit during busy periods.
Q136,2025-08-19T13:01:30.166069Z,multiple_choice,Module 3: Business Email Compromise (BEC),Section 3: Recognising Red Flags in Business Email Compromise,An email thread lacks typical internal disclaimers/signatures:,"[""Normal for vendors"", ""Possible mailbox compromise or spoofing"", ""Better for readability""]",Possible mailbox compromise or spoofing,Missing expected elements is a clue.
Q137,2025-08-19T13:01:30.166069Z,multiple_choice,Module 3: Business Email Compromise (BEC),Section 3: Recognising Red Flags in Business Email Compromise,Requests to keep finance off the thread suggest:,"[""Privacy care"", ""Attempt to bypass controls"", ""Efficiency""]",Attempt to bypass controls,Isolation is used to reduce scrutiny.
Q138,2025-08-19T13:01:30.166069Z,multiple_choice,Module 3: Business Email Compromise (BEC),Section 3: Recognising Red Flags in Business Email Compromise,Unusual file‑sharing links (new providers) for invoices:,"[""Signal modern workflow"", ""Might be malicious—verify first"", ""Lower costs""]",Might be malicious—verify first,Unexpected platforms can hide phishing.
Q139,2025-08-19T13:01:30.166069Z,multiple_choice,Module 3: Business Email Compromise (BEC),Section 3: Recognising Red Flags in Business Email Compromise,A supplier switches from corporate email to a free mailbox:,"[""Harmless"", ""Suspicious—confirm via known contacts"", ""Improves deliverability""]",Suspicious—confirm via known contacts,Free accounts are easy to create and abuse.
Q140,2025-08-19T13:01:30.166069Z,multiple_choice,Module 3: Business Email Compromise (BEC),Section 3: Recognising Red Flags in Business Email Compromise,Invoice numbers out of sequence and unknown purchase orders:,"[""No concern"", ""Possible fraud/injection"", ""Accounting optimization""]",Possible fraud/injection,Inconsistencies are warning signs.
Q141,2025-08-19T13:01:30.166069Z,multiple_choice,Module 3: Business Email Compromise (BEC),Section 4: Preventing Business Email Compromise - Best Practices,Which email control helps prevent spoofing?,"[""SPF/DKIM/DMARC"", ""POP3"", ""Telnet""]",SPF/DKIM/DMARC,Authentication and alignment reduce spoofed mail.
Q142,2025-08-19T13:01:30.166069Z,multiple_choice,Module 3: Business Email Compromise (BEC),Section 4: Preventing Business Email Compromise - Best Practices,Best control for payment changes:,"[""Single‑person approval"", ""Dual control with out‑of‑band callback"", ""Email confirmation only""]",Dual control with out‑of‑band callback,Two‑person verification thwarts fraud.
Q143,2025-08-19T13:01:30.166069Z,multiple_choice,Module 3: Business Email Compromise (BEC),Section 4: Preventing Business Email Compromise - Best Practices,MFA should be enabled especially for:,"[""Email and finance systems"", ""Screensavers"", ""Printers only""]",Email and finance systems,High‑risk systems warrant MFA.
Q144,2025-08-19T13:01:30.166069Z,multiple_choice,Module 3: Business Email Compromise (BEC),Section 4: Preventing Business Email Compromise - Best Practices,Vendor management should include:,"[""Verbal agreements only"", ""Validated contact directories and change procedures"", ""Relying on email signatures""]",Validated contact directories and change procedures,Keep verified contact info and defined workflows.
Q145,2025-08-19T13:01:30.166069Z,multiple_choice,Module 3: Business Email Compromise (BEC),Section 4: Preventing Business Email Compromise - Best Practices,Mailbox rule monitoring helps by:,"[""Reducing storage"", ""Detecting hidden auto‑forward/delete rules"", ""Improving colors""]",Detecting hidden auto‑forward/delete rules,Attackers use rules to hide activity.
Q146,2025-08-19T13:01:30.166069Z,multiple_choice,Module 3: Business Email Compromise (BEC),Section 4: Preventing Business Email Compromise - Best Practices,Security awareness training should be:,"[""One‑time only"", ""Periodic and scenario‑based"", ""Optional for finance""]",Periodic and scenario‑based,Reinforcement improves retention and behavior.
Q147,2025-08-19T13:01:30.166069Z,multiple_choice,Module 3: Business Email Compromise (BEC),Section 4: Preventing Business Email Compromise - Best Practices,Strong vendor onboarding includes:,"[""Accepting any bank details via email"", ""Verification of banking info through trusted channels"", ""Open edits to invoices""]",Verification of banking info through trusted channels,Use secure portals or verified callbacks.
Q148,2025-08-19T13:01:30.166069Z,multiple_choice,Module 3: Business Email Compromise (BEC),Section 4: Preventing Business Email Compromise - Best Practices,Conditional access and geo‑restrictions can:,"[""Block printers"", ""Reduce risky logins"", ""Replace backups""]",Reduce risky logins,Policies limit access from unusual locations/devices.
Q149,2025-08-19T13:01:30.166069Z,multiple_choice,Module 3: Business Email Compromise (BEC),Section 4: Preventing Business Email Compromise - Best Practices,Least privilege for mailboxes means:,"[""Full access for everyone"", ""Only necessary permissions granted"", ""Shared credentials""]",Only necessary permissions granted,Limit access to minimize impact.
Q150,2025-08-19T13:01:30.166069Z,multiple_choice,Module 3: Business Email Compromise (BEC),Section 4: Preventing Business Email Compromise - Best Practices,Which logging is most useful after suspected BEC?,"[""Calendar colors"", ""Audit logs for sign‑ins, mailbox rules, forwarding"", ""Wallpaper history""]","Audit logs for sign‑ins, mailbox rules, forwarding",Logs support investigation and response.
Q151,2025-08-19T13:01:30.166069Z,multiple_choice,Module 3: Business Email Compromise (BEC),Section 5: Responding to Business Email Compromise - What To Do,First step after discovering mailbox compromise:,"[""Notify IR, secure account (reset + revoke tokens), and isolate"", ""Delete all emails"", ""Inform attackers you know""]","Notify IR, secure account (reset + revoke tokens), and isolate",Contain and secure before notifying external parties.
Q152,2025-08-19T13:01:30.166069Z,multiple_choice,Module 3: Business Email Compromise (BEC),Section 5: Responding to Business Email Compromise - What To Do,If funds were transferred to a fraudulent account you should:,"[""Wait to see if it returns"", ""Contact the bank and law enforcement immediately"", ""Email the scammer""]",Contact the bank and law enforcement immediately,Speed improves the chance of recovery/hold.
Q153,2025-08-19T13:01:30.166069Z,multiple_choice,Module 3: Business Email Compromise (BEC),Section 5: Responding to Business Email Compromise - What To Do,Preserve evidence by:,"[""Wiping devices"", ""Collecting logs, headers, and emails"", ""Forwarding to everyone""]","Collecting logs, headers, and emails",Evidence supports investigation and potential recovery.
Q154,2025-08-19T13:01:30.166069Z,multiple_choice,Module 3: Business Email Compromise (BEC),Section 5: Responding to Business Email Compromise - What To Do,Notify affected partners/vendors:,"[""Only if they ask"", ""Promptly via verified channels"", ""Never—reputation risk""]",Promptly via verified channels,Transparency helps contain downstream fraud.
Q155,2025-08-19T13:01:30.166069Z,multiple_choice,Module 3: Business Email Compromise (BEC),Section 5: Responding to Business Email Compromise - What To Do,"After securing accounts, you should:","[""Conduct root cause analysis and improve controls"", ""Return to normal without changes"", ""Disable all MFA""]",Conduct root cause analysis and improve controls,Fix gaps to prevent recurrence.
Q156,2025-08-19T13:01:30.166069Z,multiple_choice,Module 3: Business Email Compromise (BEC),Section 5: Responding to Business Email Compromise - What To Do,Compromised inbox auto‑forward rules:,"[""Harmless"", ""Should be removed and blocked"", ""Improve productivity""]",Should be removed and blocked,Attackers exfiltrate data via forwarding.
Q157,2025-08-19T13:01:30.166069Z,multiple_choice,Module 3: Business Email Compromise (BEC),Section 5: Responding to Business Email Compromise - What To Do,Users who entered creds on a phishing site should:,"[""Ignore if MFA exists"", ""Change passwords, invalidate sessions, and enable MFA"", ""Clear browser cache only""]","Change passwords, invalidate sessions, and enable MFA",Treat as full credential compromise.
Q158,2025-08-19T13:01:30.166069Z,multiple_choice,Module 3: Business Email Compromise (BEC),Section 5: Responding to Business Email Compromise - What To Do,Legal/privacy teams are involved to:,"[""Design logos"", ""Assess regulatory and notification duties"", ""Order laptops""]",Assess regulatory and notification duties,Breach handling may require notifications.
Q159,2025-08-19T13:01:30.166069Z,multiple_choice,Module 3: Business Email Compromise (BEC),Section 5: Responding to Business Email Compromise - What To Do,Communication to staff should:,"[""Blame individuals"", ""Provide facts, guidance, and reporting steps"", ""Be kept secret forever""]","Provide facts, guidance, and reporting steps",Clarity reduces further risk.
Q160,2025-08-19T13:01:30.166069Z,multiple_choice,Module 3: Business Email Compromise (BEC),Section 5: Responding to Business Email Compromise - What To Do,Post‑incident monitoring should include:,"[""Nothing"", ""Heightened fraud checks and mailbox rule audits"", ""Wallpaper checks""]",Heightened fraud checks and mailbox rule audits,Watch for follow‑on fraud attempts.
